2025-01-31 16:22:38.190 +07:00 [INF] Login attempt for user: nvdkhoa from IP: ::1
2025-01-31 16:22:39.218 +07:00 [INF] User nvdkhoa logged in successfully from IP: ::1
2025-01-31 16:22:39.420 +07:00 [INF] [Client] [CLIENT] user đăng nhập thành công: nvdkhoa 
2025-01-31 16:22:40.887 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:22:41.166 +07:00 [INF] [Client] Dashboard accessed - User: , Role: 01 
2025-01-31 16:22:45.620 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:23:02.539 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:23:03.063 +07:00 [INF] [Client] Dashboard accessed - User: , Role: 01 
2025-01-31 16:23:10.428 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:25:19.627 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:25:25.526 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:26:00.262 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
2025-01-31 16:26:00.625 +07:00 [INF] [Client] Dashboard accessed - User: , Role: 01 
2025-01-31 16:26:05.634 +07:00 [INF] [Client] Auth state updated - User: nvdkhoa, Role: 01 
